CBSA Code,Metro Division Code,CSA Code,CBSA Title,Level of CBSA,"Status, 1=metro 2=micro",Metropolitan Division Title,CSA Title,Component Name,State,FIPS
34100,,392,"Morristown, TN ",Metropolitan Statistical Area,1,,"Morristown-Newport, TN",Jefferson County,Tennessee,47089
34140,,,"Moscow, ID ",Micropolitan Statistical Area,2,,,Latah County,Idaho,16057
34180,,,"Moses Lake, WA ",Micropolitan Statistical Area,2,,,Grant County,Washington,53025
34220,,,"Moultrie, GA ",Micropolitan Statistical Area,2,,,Colquitt County,Georgia,13071
34260,,,"Mountain Home, AR ",Micropolitan Statistical Area,2,,,Baxter County,Arkansas,5005
34300,,,"Mountain Home, ID ",Micropolitan Statistical Area,2,,,Elmore County,Idaho,16039
34340,,268,"Mount Airy, NC ",Micropolitan Statistical Area,2,,"Greensboro--Winston-Salem--High Point, NC",Surry County,North Carolina,37171
34380,,,"Mount Pleasant, MI ",Micropolitan Statistical Area,2,,,Isabella County,Michigan,26073
34420,,,"Mount Pleasant, TX ",Micropolitan Statistical Area,2,,,Titus County,Texas,48449
34460,,336,"Mount Sterling, KY ",Micropolitan Statistical Area,2,,"Lexington-Fayette--Frankfort--Richmond, KY",Bath County,Kentucky,21011
34460,,336,"Mount Sterling, KY ",Micropolitan Statistical Area,2,,"Lexington-Fayette--Frankfort--Richmond, KY",Menifee County,Kentucky,21165
34460,,336,"Mount Sterling, KY ",Micropolitan Statistical Area,2,,"Lexington-Fayette--Frankfort--Richmond, KY",Montgomery County,Kentucky,21173
34500,,,"Mount Vernon, IL ",Micropolitan Statistical Area,2,,,Hamilton County,Illinois,17065
34500,,,"Mount Vernon, IL ",Micropolitan Statistical Area,2,,,Jefferson County,Illinois,17081
34540,,198,"Mount Vernon, OH ",Micropolitan Statistical Area,2,,"Columbus-Marion-Chillicothe, OH",Knox County,Ohio,39083
34580,,,"Mount Vernon-Anacortes, WA ",Metropolitan Statistical Area,1,,,Skagit County,Washington,53057
34620,,,"Muncie, IN ",Metropolitan Statistical Area,1,,,Delaware County,Indiana,18035
34660,,,"Murray, KY ",Micropolitan Statistical Area,2,,,Calloway County,Kentucky,21035
34700,,,"Muscatine, IA ",Micropolitan Statistical Area,2,,,Louisa County,Iowa,19115
34700,,,"Muscatine, IA ",Micropolitan Statistical Area,2,,,Muscatine County,Iowa,19139
34740,,266,"Muskegon-Norton Shores, MI ",Metropolitan Statistical Area,1,,"Grand Rapids-Muskegon-Holland, MI",Muskegon County,Michigan,26121
34780,,,"Muskogee, OK ",Micropolitan Statistical Area,2,,,Muskogee County,Oklahoma,40101
34820,,396,"Myrtle Beach-Conway-North Myrtle Beach, SC ",Metropolitan Statistical Area,1,,"Myrtle Beach-Conway-Georgetown, SC",Horry County,South Carolina,45051
34860,,,"Nacogdoches, TX ",Micropolitan Statistical Area,2,,,Nacogdoches County,Texas,48347
34900,,488,"Napa, CA ",Metropolitan Statistical Area,1,,"San Jose-San Francisco-Oakland, CA",Napa County,California,6055
34940,,,"Naples-Marco Island, FL ",Metropolitan Statistical Area,1,,,Collier County,Florida,12021
34980,,400,"Nashville-Davidson--Murfreesboro, TN ",Metropolitan Statistical Area,1,,"Nashville-Davidson--Murfreesboro--Columbia, TN",Cannon County,Tennessee,47015
34980,,400,"Nashville-Davidson--Murfreesboro, TN ",Metropolitan Statistical Area,1,,"Nashville-Davidson--Murfreesboro--Columbia, TN",Cheatham County,Tennessee,47021
34980,,400,"Nashville-Davidson--Murfreesboro, TN ",Metropolitan Statistical Area,1,,"Nashville-Davidson--Murfreesboro--Columbia, TN",Davidson County,Tennessee,47037
34980,,400,"Nashville-Davidson--Murfreesboro, TN ",Metropolitan Statistical Area,1,,"Nashville-Davidson--Murfreesboro--Columbia, TN",Dickson County,Tennessee,47043
34980,,400,"Nashville-Davidson--Murfreesboro, TN ",Metropolitan Statistical Area,1,,"Nashville-Davidson--Murfreesboro--Columbia, TN",Hickman County,Tennessee,47081
34980,,400,"Nashville-Davidson--Murfreesboro, TN ",Metropolitan Statistical Area,1,,"Nashville-Davidson--Murfreesboro--Columbia, TN",Macon County,Tennessee,47111
34980,,400,"Nashville-Davidson--Murfreesboro, TN ",Metropolitan Statistical Area,1,,"Nashville-Davidson--Murfreesboro--Columbia, TN",Robertson County,Tennessee,47147
34980,,400,"Nashville-Davidson--Murfreesboro, TN ",Metropolitan Statistical Area,1,,"Nashville-Davidson--Murfreesboro--Columbia, TN",Rutherford County,Tennessee,47149
34980,,400,"Nashville-Davidson--Murfreesboro, TN ",Metropolitan Statistical Area,1,,"Nashville-Davidson--Murfreesboro--Columbia, TN",Smith County,Tennessee,47159
34980,,400,"Nashville-Davidson--Murfreesboro, TN ",Metropolitan Statistical Area,1,,"Nashville-Davidson--Murfreesboro--Columbia, TN",Sumner County,Tennessee,47165
34980,,400,"Nashville-Davidson--Murfreesboro, TN ",Metropolitan Statistical Area,1,,"Nashville-Davidson--Murfreesboro--Columbia, TN",Trousdale County,Tennessee,47169
34980,,400,"Nashville-Davidson--Murfreesboro, TN ",Metropolitan Statistical Area,1,,"Nashville-Davidson--Murfreesboro--Columbia, TN",Williamson County,Tennessee,47187
34980,,400,"Nashville-Davidson--Murfreesboro, TN ",Metropolitan Statistical Area,1,,"Nashville-Davidson--Murfreesboro--Columbia, TN",Wilson County,Tennessee,47189
